Mouse_gene_name	Mouse_id	Predicted_status	Number_of_mouse_orthologs	Degree	Rank	Weighted-degree	Weighted_rank	Zebrafish_gene_name	Zfin_id	Predicted_status	Number_of_zebrafish_orthologs	Degree	Rank	Weighted-degree	Weighted-rank
slc29a1	mgi:1927073	direct_annotation_to_the_hindlimb	NA	1	627	0.362871587098	633	NA	NA	NA	1:slc29a1a	NA	NA	NA	NA
tg(sod1*g37r)42dpr	mgi:3573957	direct_annotation_to_the_hindlimb	NA	1	627	0.304805101138	662	NA	NA	NA	NA	NA	NA	NA	NA
atp7a	mgi:99400	direct_annotation_to_the_hindlimb	NA	94	48	34.7157602696	65	NA	NA	NA	NA	NA	NA	NA	NA
igf1	mgi:96432	predicted	NA	124	18	52.9341292374	17	NA	NA	NA	1:igf1	NA	NA	NA	NA
gpr87	mgi:1934133	direct_annotation_to_the_hindlimb	NA	34	230	10.542113337	257	NA	NA	NA	NA	NA	NA	NA	NA
tbx4	mgi:102556	direct_annotation_to_the_hindlimb	1:tbx4	28	254	10.3870784431	259	tbx4	zdb-gene-991124-5	direct_annotation_to_the_pelvic_fin	1:tbx4	26	484	10.3408448949	496
axin1	mgi:1096327	direct_annotation_to_the_hindlimb	NA	63	97	25.9798147953	92	NA	NA	NA	1:axin1	NA	NA	NA	NA
cdx2	mgi:88361	direct_annotation_to_the_hindlimb	NA	33	236	12.1336250645	242	NA	NA	NA	NA	NA	NA	NA	NA
map3k14	mgi:1858204	direct_annotation_to_the_hindlimb	1:map3k14	15	350	7.11859027811	312	map3k14b	zdb-gene-091204-121	predicted	2:map3k14a,map3k14b	68	310	26.1705882353	350
tg(hoxd9/lacz/neo)5ddu	mgi:2664905	direct_annotation_to_the_hindlimb	NA	3	549	0.992076006564	577	NA	NA	NA	NA	NA	NA	NA	NA
p2rx7	mgi:1339957	direct_annotation_to_the_hindlimb	NA	7	456	2.78457617718	461	NA	NA	NA	NA	NA	NA	NA	NA
galnt3	mgi:894695	direct_annotation_to_the_hindlimb	NA	6	480	2.2858876424	485	NA	NA	NA	1:galnt3	NA	NA	NA	NA
wnt3a	mgi:98956	direct_annotation_to_the_hindlimb	1:wnt3a	99	40	42.6563728429	39	wnt3a	zdb-gene-001106-1	predicted	1:wnt3a	120	116	57.9541972294	95
gja1	mgi:95713	predicted	1:gja1	77	78	28.370896986	84	cx43	zdb-gene-991105-4	predicted	2:cx43,cx40.8	34	451	15.0786866495	444
lmblgq3	mgi:3042421	direct_annotation_to_the_hindlimb	NA	50	180	16.0102943412	198	NA	NA	NA	NA	NA	NA	NA	NA
limk2	mgi:1197517	direct_annotation_to_the_hindlimb	NA	21	293	7.16293986474	310	NA	NA	NA	1:limk2	NA	NA	NA	NA
nog	mgi:104327	predicted	NA	93	52	39.7062876332	46	NA	NA	NA	NA	NA	NA	NA	NA
dkk1	mgi:1329040	direct_annotation_to_the_hindlimb	NA	56	161	23.5909948766	108	NA	NA	NA	2:dkk1a,dkk1b	NA	NA	NA	NA
hoxc10	mgi:96192	direct_annotation_to_the_hindlimb	NA	5	500	1.74673642412	514	NA	NA	NA	1:hoxc10a	NA	NA	NA	NA
nov	mgi:109185	direct_annotation_to_the_hindlimb	NA	6	480	2.04768920114	496	NA	NA	NA	NA	NA	NA	NA	NA
col2a1	mgi:88452	direct_annotation_to_the_hindlimb	1:col2a1	108	33	43.3478600977	37	col2a1a	zdb-gene-980526-192	predicted	1:col2a1a	25	491	11.8949449337	483
trp53	mgi:98834	direct_annotation_to_the_hindlimb	1:trp53	191	1	82.9324333337	1	tp53	zdb-gene-990415-270	predicted	1:tp53	177	31	83.803524628	24
ihh	mgi:96533	direct_annotation_to_the_hindlimb	1:ihh	85	62	33.7444471152	68	ihhb	zdb-gene-980526-135	predicted	2:ihhb,ihha	29	471	13.3889614166	460
ihh	mgi:96533	direct_annotation_to_the_hindlimb	1:ihh	85	62	33.7444471152	68	ihha	zdb-gene-051010-1	predicted	2:ihhb,ihha	51	387	24.0223118518	366
dicer1	mgi:2177178	direct_annotation_to_the_hindlimb	1:dicer1	50	180	18.328683905	187	dicer1	zdb-gene-030131-3445	predicted	1:dicer1	117	123	50.4730345203	140
map1b	mgi:1306778	direct_annotation_to_the_hindlimb	NA	4	524	1.54271213326	531	NA	NA	NA	1:map1b	NA	NA	NA	NA
ptpre	mgi:97813	direct_annotation_to_the_hindlimb	NA	9	430	3.18648072082	446	NA	NA	NA	NA	NA	NA	NA	NA
prpsap2	mgi:2384838	direct_annotation_to_the_hindlimb	NA	59	148	18.6992580461	182	NA	NA	NA	1:prpsap2	NA	NA	NA	NA
smoc1	mgi:1929878	direct_annotation_to_the_hindlimb	NA	2	589	0.706672267059	608	NA	NA	NA	1:smoc1	NA	NA	NA	NA
setd2	mgi:1918177	direct_annotation_to_the_hindlimb	NA	15	350	5.57221492702	360	NA	NA	NA	1:setd2	NA	NA	NA	NA
kras	mgi:96680	predicted	1:kras	163	5	70.7747547508	5	kras	NA	predicted	1:setd2	209	13	93.4029893618	15
skmw7	mgi:3510240	direct_annotation_to_the_hindlimb	NA	17	329	6.12954146074	349	NA	NA	NA	NA	NA	NA	NA	NA
skmw6	mgi:3510239	direct_annotation_to_the_hindlimb	NA	21	293	7.49301813297	304	NA	NA	NA	NA	NA	NA	NA	NA
sod2	mgi:98352	direct_annotation_to_the_hindlimb	1:sod2	47	191	18.8195871567	178	sod2	NA	predicted	1:setd2	73	285	30.6061377806	308
lrrk1	mgi:2142227	direct_annotation_to_the_hindlimb	NA	110	30	42.2122111855	40	NA	NA	NA	1:lrrk1	NA	NA	NA	NA
skmw1	mgi:3036182	direct_annotation_to_the_hindlimb	NA	18	314	6.50121153092	328	NA	NA	NA	NA	NA	NA	NA	NA
postn	mgi:1926321	direct_annotation_to_the_hindlimb	NA	48	188	18.2005908473	188	NA	NA	NA	2:postnb,postna	NA	NA	NA	NA
bmpr1b	mgi:107191	direct_annotation_to_the_hindlimb	1:bmpr1b	46	192	20.0326265312	131	bmpr1bb	zdb-gene-090610-1	predicted	2:bmpr1bb,bmpr1ba	47	401	20.1116201208	408
bmpr1b	mgi:107191	direct_annotation_to_the_hindlimb	1:bmpr1b	46	192	20.0326265312	131	bmpr1ba	zdb-gene-991208-8	predicted	2:bmpr1bb,bmpr1ba	51	387	24.8780587734	361
skmw9	mgi:3510243	direct_annotation_to_the_hindlimb	NA	18	314	6.50121153092	328	NA	NA	NA	NA	NA	NA	NA	NA
skmw8	mgi:3510241	direct_annotation_to_the_hindlimb	NA	19	308	6.89407753959	319	NA	NA	NA	NA	NA	NA	NA	NA
runx2	mgi:99829	direct_annotation_to_the_hindlimb	NA	148	11	61.8429567508	13	NA	NA	NA	2:runx2a,runx2b	NA	NA	NA	NA
runx3	mgi:102672	direct_annotation_to_the_hindlimb	NA	33	236	12.4565755977	237	NA	NA	NA	1:runx3	NA	NA	NA	NA
tg(hoxd9/lacz/neo)3ddu	mgi:2664901	direct_annotation_to_the_hindlimb	NA	3	549	0.992076006564	577	NA	NA	NA	NA	NA	NA	NA	NA
pip4k2b	mgi:1934234	direct_annotation_to_the_hindlimb	NA	4	524	1.75898470711	513	NA	NA	NA	NA	NA	NA	NA	NA
del(2hoxd8,hoxd9-hoxd13)1cx	mgi:3574363	direct_annotation_to_the_hindlimb	NA	3	549	1.07921959739	569	NA	NA	NA	NA	NA	NA	NA	NA
is(17;in2)1gso	mgi:104231	direct_annotation_to_the_hindlimb	NA	1	627	0.33081227223	643	NA	NA	NA	NA	NA	NA	NA	NA
ryr1	mgi:99659	direct_annotation_to_the_hindlimb	NA	15	350	5.54833042425	361	NA	NA	NA	2:ryr1a,ryr1b	NA	NA	NA	NA
eef1a2	mgi:1096317	direct_annotation_to_the_hindlimb	NA	10	412	3.38068477343	438	NA	NA	NA	1:eef1a2	NA	NA	NA	NA
epyc	mgi:107942	direct_annotation_to_the_hindlimb	NA	44	200	14.1940266148	218	NA	NA	NA	1:epyc	NA	NA	NA	NA
plec	mgi:1277961	direct_annotation_to_the_hindlimb	NA	13	370	4.90643045335	382	NA	NA	NA	2:pleca,plecb	NA	NA	NA	NA
sept5	mgi:1195461	direct_annotation_to_the_hindlimb	NA	6	480	1.90189176042	504	NA	NA	NA	2:sept5a,sept5b	NA	NA	NA	NA
tg(thy1-hspb1*s135f)#lvdb	mgi:5285196	direct_annotation_to_the_hindlimb	NA	1	627	0.346804385986	637	NA	NA	NA	NA	NA	NA	NA	NA
aire	mgi:1338803	direct_annotation_to_the_hindlimb	NA	7	456	2.45584340349	479	NA	NA	NA	NA	NA	NA	NA	NA
nfatc1	mgi:102469	direct_annotation_to_the_hindlimb	NA	54	167	22.5877470246	116	NA	NA	NA	1:nfatc1	NA	NA	NA	NA
nfatc3	mgi:103296	direct_annotation_to_the_hindlimb	NA	13	370	5.08620251052	375	NA	NA	NA	2:nfatc3a,nfatc3b	NA	NA	NA	NA
ube3c	mgi:2140998	direct_annotation_to_the_hindlimb	NA	10	412	3.80460222321	422	NA	NA	NA	1:ube3c	NA	NA	NA	NA
wls	mgi:1915401	direct_annotation_to_the_hindlimb	NA	13	370	6.5887386265	325	NA	NA	NA	NA	NA	NA	NA	NA
cd86	mgi:101773	direct_annotation_to_the_hindlimb	NA	29	251	11.8673193241	246	NA	NA	NA	NA	NA	NA	NA	NA
ltb	mgi:104796	direct_annotation_to_the_hindlimb	NA	10	412	4.77283265645	387	NA	NA	NA	NA	NA	NA	NA	NA
lta	mgi:104797	direct_annotation_to_the_hindlimb	NA	26	257	10.8114813637	254	NA	NA	NA	1:lta	NA	NA	NA	NA
sh3pxd2b	mgi:2442062	direct_annotation_to_the_hindlimb	NA	9	430	3.81932588003	420	NA	NA	NA	1:sh3pxd2b	NA	NA	NA	NA
nkx3-2	mgi:108015	predicted	NA	41	204	15.3313676756	207	NA	NA	NA	1:nkx3.2	NA	NA	NA	NA
chd2	mgi:2448567	direct_annotation_to_the_hindlimb	NA	17	329	5.85509798589	356	NA	NA	NA	NA	NA	NA	NA	NA
chd7	mgi:2444748	direct_annotation_to_the_hindlimb	NA	35	226	12.4756503157	236	NA	NA	NA	1:chd7	NA	NA	NA	NA
fras1	mgi:2385368	direct_annotation_to_the_hindlimb	1:fras1	40	207	14.5350005659	212	fras1	zdb-gene-060526-68	predicted	1:fras1	21	503	9.03620037984	507
m6.5.5djba	mgi:4829497	direct_annotation_to_the_hindlimb	NA	58	155	18.0940891705	189	NA	NA	NA	NA	NA	NA	NA	NA
evc2	mgi:1915775	direct_annotation_to_the_hindlimb	NA	11	392	5.04617662087	377	NA	NA	NA	NA	NA	NA	NA	NA
agrn	mgi:87961	direct_annotation_to_the_hindlimb	NA	18	314	8.08086512216	292	NA	NA	NA	1:agrn	NA	NA	NA	NA
slc4a4	mgi:1927555	direct_annotation_to_the_hindlimb	NA	2	589	0.631307680284	622	NA	NA	NA	1:slc4a4a	NA	NA	NA	NA
abhd8	mgi:1918946	direct_annotation_to_the_hindlimb	NA	26	257	8.29395930006	287	NA	NA	NA	2:abhd8b,abhd8a	NA	NA	NA	NA
pgr	mgi:97567	direct_annotation_to_the_hindlimb	NA	71	84	26.900578385	87	NA	NA	NA	1:pgr	NA	NA	NA	NA
selenon	mgi:2151208	direct_annotation_to_the_hindlimb	NA	1	627	0.315937573731	651	NA	NA	NA	1:selenon	NA	NA	NA	NA
ncor1	mgi:1349717	direct_annotation_to_the_hindlimb	NA	32	243	13.8226253186	224	NA	NA	NA	1:ncor1	NA	NA	NA	NA
del(2hoxd9-hoxd13)8ddu	mgi:3616162	direct_annotation_to_the_hindlimb	NA	3	549	1.07921959739	569	NA	NA	NA	NA	NA	NA	NA	NA
chst11	mgi:1927166	direct_annotation_to_the_hindlimb	NA	14	359	5.86360544782	355	NA	NA	NA	1:chst11	NA	NA	NA	NA
tox	mgi:2181659	direct_annotation_to_the_hindlimb	NA	1	627	0.404864142954	628	NA	NA	NA	1:tox	NA	NA	NA	NA
chst14	mgi:1919386	direct_annotation_to_the_hindlimb	NA	6	480	2.75249384648	465	NA	NA	NA	1:chst14	NA	NA	NA	NA
il10	mgi:96537	direct_annotation_to_the_hindlimb	NA	99	40	41.3968507144	41	NA	NA	NA	1:il10	NA	NA	NA	NA
tg(sod1*)125dbo	mgi:4843142	direct_annotation_to_the_hindlimb	NA	5	500	1.66151356931	517	NA	NA	NA	NA	NA	NA	NA	NA
il15	mgi:103014	direct_annotation_to_the_hindlimb	NA	33	236	13.9008504819	222	NA	NA	NA	1:il15	NA	NA	NA	NA
cxxc5	mgi:1914643	direct_annotation_to_the_hindlimb	NA	3	549	0.950816739056	591	NA	NA	NA	2:cxxc5b,cxxc5a	NA	NA	NA	NA
mskt6	mgi:3663607	direct_annotation_to_the_hindlimb	NA	62	99	19.3610745741	164	NA	NA	NA	NA	NA	NA	NA	NA
mskt7	mgi:3663608	direct_annotation_to_the_hindlimb	NA	62	99	19.3610745741	164	NA	NA	NA	NA	NA	NA	NA	NA
mskt4	mgi:3663605	direct_annotation_to_the_hindlimb	NA	2	589	0.686524135781	610	NA	NA	NA	NA	NA	NA	NA	NA
mskt5	mgi:3663606	direct_annotation_to_the_hindlimb	NA	2	589	0.662290920254	617	NA	NA	NA	NA	NA	NA	NA	NA
mskt2	mgi:3663603	direct_annotation_to_the_hindlimb	NA	3	549	0.961568254127	586	NA	NA	NA	NA	NA	NA	NA	NA
mskt3	mgi:3663604	direct_annotation_to_the_hindlimb	NA	62	99	19.3610745741	164	NA	NA	NA	NA	NA	NA	NA	NA
rnf165	mgi:2444521	direct_annotation_to_the_hindlimb	NA	2	589	0.62687717305	624	NA	NA	NA	2:rnf165b,rnf165a	NA	NA	NA	NA
mskt1	mgi:3663602	direct_annotation_to_the_hindlimb	NA	62	99	19.3610745741	164	NA	NA	NA	NA	NA	NA	NA	NA
pkd1	mgi:97603	direct_annotation_to_the_hindlimb	NA	13	370	4.73763182911	389	NA	NA	NA	2:pkd1b,pkd1a	NA	NA	NA	NA
mskt8	mgi:3663609	direct_annotation_to_the_hindlimb	NA	61	107	19.6922901193	140	NA	NA	NA	NA	NA	NA	NA	NA
mskt9	mgi:3663610	direct_annotation_to_the_hindlimb	NA	61	107	19.6922901193	140	NA	NA	NA	NA	NA	NA	NA	NA
syne1	mgi:1927152	direct_annotation_to_the_hindlimb	NA	5	500	1.826122184	510	NA	NA	NA	2:syne1b,syne1a	NA	NA	NA	NA
fmgty6	mgi:3512919	direct_annotation_to_the_hindlimb	NA	61	107	19.6922901193	134	NA	NA	NA	NA	NA	NA	NA	NA
meox2	mgi:103219	direct_annotation_to_the_hindlimb	NA	2	589	0.727605887303	606	NA	NA	NA	2:meox2b,meox2a	NA	NA	NA	NA
sh3gl2	mgi:700009	direct_annotation_to_the_hindlimb	NA	15	350	6.18674699333	345	NA	NA	NA	2:sh3gl2a,sh3gl2b	NA	NA	NA	NA
hottip	mgi:3642509	direct_annotation_to_the_hindlimb	NA	1	627	0.302063881062	667	NA	NA	NA	NA	NA	NA	NA	NA
lrrc8a	mgi:2652847	direct_annotation_to_the_hindlimb	NA	1	627	0.337197802198	641	NA	NA	NA	2:lrrc8aa,lrrc8ab	NA	NA	NA	NA
zbtb16	mgi:103222	direct_annotation_to_the_hindlimb	NA	21	293	6.83956660364	322	NA	NA	NA	2:zbtb16b,zbtb16a	NA	NA	NA	NA
tg(col2a1-pthr1*h223r)bhju	mgi:3584003	direct_annotation_to_the_hindlimb	NA	1	627	0.302026262808	668	NA	NA	NA	NA	NA	NA	NA	NA
mtm1	mgi:1099452	direct_annotation_to_the_hindlimb	NA	6	480	2.69981123411	469	NA	NA	NA	1:mtm1	NA	NA	NA	NA
tacc3	mgi:1341163	direct_annotation_to_the_hindlimb	NA	3	549	1.17695305875	557	NA	NA	NA	1:tacc3	NA	NA	NA	NA
thbs3	mgi:98739	direct_annotation_to_the_hindlimb	NA	48	188	16.0057879521	201	NA	NA	NA	2:thbs3b,thbs3a	NA	NA	NA	NA
thbs1	mgi:98737	direct_annotation_to_the_hindlimb	NA	54	167	22.6682675964	115	NA	NA	NA	2:thbs1a,thbs1b	NA	NA	NA	NA
csgalnact1	mgi:2442354	direct_annotation_to_the_hindlimb	NA	20	299	7.87730264169	298	NA	NA	NA	2:csgalnact1a,csgalnact1b	NA	NA	NA	NA
sirt1	mgi:2135607	direct_annotation_to_the_hindlimb	1:sirt1	61	107	25.4896959322	94	sirt1	zdb-gene-070801-2	predicted	1:sirt1	91	209	40.1693360903	232
grem1	mgi:1344337	direct_annotation_to_the_hindlimb	NA	46	192	17.7806020379	191	NA	NA	NA	2:grem1a,grem1b	NA	NA	NA	NA
col9a2	mgi:88466	direct_annotation_to_the_hindlimb	NA	20	299	7.88267317005	297	NA	NA	NA	1:col9a2	NA	NA	NA	NA
ank	mgi:3045421	direct_annotation_to_the_hindlimb	NA	16	343	5.18629690736	371	NA	NA	NA	1:ankha	NA	NA	NA	NA
fmgty3	mgi:3512801	direct_annotation_to_the_hindlimb	NA	61	107	19.6922901193	140	NA	NA	NA	NA	NA	NA	NA	NA
plekhm1	mgi:2443207	direct_annotation_to_the_hindlimb	NA	2	589	0.672563676753	615	NA	NA	NA	1:plekhm1	NA	NA	NA	NA
fcsa4	mgi:2668938	direct_annotation_to_the_hindlimb	NA	61	107	19.6922901193	134	NA	NA	NA	NA	NA	NA	NA	NA
fcsa5	mgi:2668939	direct_annotation_to_the_hindlimb	NA	61	107	19.6922901193	140	NA	NA	NA	NA	NA	NA	NA	NA
fcsa2	mgi:2668936	direct_annotation_to_the_hindlimb	NA	61	107	19.6922901193	134	NA	NA	NA	NA	NA	NA	NA	NA
ripk4	mgi:1919638	direct_annotation_to_the_hindlimb	NA	82	66	30.1764919019	80	NA	NA	NA	1:ripk4	NA	NA	NA	NA
fmgty5	mgi:3512918	direct_annotation_to_the_hindlimb	NA	61	107	19.6922901193	140	NA	NA	NA	NA	NA	NA	NA	NA
fmgty4	mgi:3512916	direct_annotation_to_the_hindlimb	NA	61	107	19.6922901193	140	NA	NA	NA	NA	NA	NA	NA	NA
fmgty9	mgi:3512926	direct_annotation_to_the_hindlimb	NA	39	209	12.119420538	244	NA	NA	NA	NA	NA	NA	NA	NA
fembm4	mgi:2154762	direct_annotation_to_the_hindlimb	NA	61	107	19.6922901193	140	NA	NA	NA	NA	NA	NA	NA	NA
fembm3	mgi:2154761	direct_annotation_to_the_hindlimb	NA	61	107	19.6922901193	140	NA	NA	NA	NA	NA	NA	NA	NA
fembm1	mgi:2154759	direct_annotation_to_the_hindlimb	NA	61	107	19.6922901193	140	NA	NA	NA	NA	NA	NA	NA	NA
sell	mgi:98279	direct_annotation_to_the_hindlimb	NA	13	370	5.47361954535	363	NA	NA	NA	NA	NA	NA	NA	NA
twsg1	mgi:2137520	direct_annotation_to_the_hindlimb	NA	13	370	5.09748781596	373	NA	NA	NA	2:twsg1a,twsg1b	NA	NA	NA	NA
fkbp8	mgi:1341070	direct_annotation_to_the_hindlimb	NA	10	412	3.77415264965	425	NA	NA	NA	NA	NA	NA	NA	NA
ccp110	mgi:2141942	direct_annotation_to_the_hindlimb	NA	6	480	2.58023190676	475	NA	NA	NA	NA	NA	NA	NA	NA
tg(msx2-en1)86alj	mgi:4834773	direct_annotation_to_the_hindlimb	NA	20	299	6.49706350374	333	NA	NA	NA	NA	NA	NA	NA	NA
hgf	mgi:96079	direct_annotation_to_the_hindlimb	NA	76	81	32.1230161815	74	NA	NA	NA	2:hgfa,hgfb	NA	NA	NA	NA
spgl	mgi:1890620	direct_annotation_to_the_hindlimb	NA	6	480	1.84338187849	507	NA	NA	NA	NA	NA	NA	NA	NA
mapkapk2	mgi:109298	direct_annotation_to_the_hindlimb	NA	12	382	4.79606380342	385	NA	NA	NA	2:mapkapk2b,mapkapk2a	NA	NA	NA	NA
pyy	mgi:99924	direct_annotation_to_the_hindlimb	NA	11	392	5.36868228892	365	NA	NA	NA	2:pyyb,pyya	NA	NA	NA	NA
pmp22	mgi:97631	direct_annotation_to_the_hindlimb	NA	4	524	1.45206258097	539	NA	NA	NA	1:pmp22a	NA	NA	NA	NA
ctsk	mgi:107823	direct_annotation_to_the_hindlimb	NA	52	175	20.8510695717	122	NA	NA	NA	1:ctsk	NA	NA	NA	NA
map4k4	mgi:1349394	direct_annotation_to_the_hindlimb	NA	4	524	1.41237347052	541	NA	NA	NA	1:map4k4	NA	NA	NA	NA
adamtsl5	mgi:1913798	direct_annotation_to_the_hindlimb	NA	60	141	18.7424073492	181	NA	NA	NA	1:adamtsl5	NA	NA	NA	NA
inpp4b	mgi:2158925	direct_annotation_to_the_hindlimb	NA	12	382	4.58263201058	397	NA	NA	NA	1:inpp4b	NA	NA	NA	NA
lmx1b	mgi:1100513	direct_annotation_to_the_hindlimb	1:lmx1b	24	271	9.17328948471	271	lmx1bb	zdb-gene-050114-2	predicted	2:lmx1ba,lmx1bb	32	459	11.9354462074	481
npr3	mgi:97373	direct_annotation_to_the_hindlimb	NA	16	343	5.58589638993	359	NA	NA	NA	1:npr3	NA	NA	NA	NA
plaa	mgi:104810	direct_annotation_to_the_hindlimb	NA	1	627	0.363818681319	632	NA	NA	NA	NA	NA	NA	NA	NA
wnt5a	mgi:98958	predicted	NA	114	26	48.1587699363	27	NA	NA	NA	1:wnt5a	NA	NA	NA	NA
mex3c	mgi:2652843	direct_annotation_to_the_hindlimb	NA	1	627	0.339802580685	639	NA	NA	NA	1:mex3c	NA	NA	NA	NA
rnf10	mgi:1859162	direct_annotation_to_the_hindlimb	NA	3	549	1.0547536916	574	NA	NA	NA	1:rnf10	NA	NA	NA	NA
sgcg	mgi:1346524	direct_annotation_to_the_hindlimb	NA	14	359	6.46321795265	337	NA	NA	NA	1:sgcg	NA	NA	NA	NA
sgcb	mgi:1346523	direct_annotation_to_the_hindlimb	NA	9	430	4.71819906167	390	NA	NA	NA	1:sgcb	NA	NA	NA	NA
sgca	mgi:894698	direct_annotation_to_the_hindlimb	NA	16	343	7.43301147367	306	NA	NA	NA	1:sgca	NA	NA	NA	NA
kl	mgi:1101771	direct_annotation_to_the_hindlimb	NA	46	192	20.0874617144	128	NA	NA	NA	1:kl	NA	NA	NA	NA
smad4	mgi:894293	direct_annotation_to_the_hindlimb	NA	139	14	58.258520111	14	NA	NA	NA	2:smad4a,smad4b	NA	NA	NA	NA
grip1	mgi:1921303	direct_annotation_to_the_hindlimb	NA	8	436	3.33875524301	439	NA	NA	NA	1:grip1	NA	NA	NA	NA
ky	mgi:96709	direct_annotation_to_the_hindlimb	NA	3	549	1.14638623441	561	NA	NA	NA	1:ky	NA	NA	NA	NA
myoz1	mgi:1929471	direct_annotation_to_the_hindlimb	NA	10	412	3.77631193343	424	NA	NA	NA	2:myoz1a,myoz1b	NA	NA	NA	NA
cav3	mgi:107570	direct_annotation_to_the_hindlimb	NA	21	293	9.36020908148	268	NA	NA	NA	NA	NA	NA	NA	NA
sspn	mgi:1353511	direct_annotation_to_the_hindlimb	NA	29	251	10.9078436586	253	NA	NA	NA	NA	NA	NA	NA	NA
drg2	mgi:1342307	direct_annotation_to_the_hindlimb	NA	22	283	6.97348693825	315	NA	NA	NA	1:drg2	NA	NA	NA	NA
917m	mgi:3620954	direct_annotation_to_the_hindlimb	NA	20	299	6.2036037139	343	NA	NA	NA	NA	NA	NA	NA	NA
fam49b	mgi:1923520	direct_annotation_to_the_hindlimb	NA	10	412	5.09371882252	374	NA	NA	NA	2:fam49ba,fam49bb	NA	NA	NA	NA
feml1	mgi:1933827	direct_annotation_to_the_hindlimb	NA	61	107	19.6922901193	140	NA	NA	NA	NA	NA	NA	NA	NA
clcn1	mgi:88417	direct_annotation_to_the_hindlimb	NA	1	627	0.337413852169	640	NA	NA	NA	2:clcn1b,clcn1a	NA	NA	NA	NA
feml2	mgi:1933828	direct_annotation_to_the_hindlimb	NA	38	215	11.7793545006	248	NA	NA	NA	NA	NA	NA	NA	NA
feml4	mgi:3698549	direct_annotation_to_the_hindlimb	NA	61	107	19.6922901193	140	NA	NA	NA	NA	NA	NA	NA	NA
trim55	mgi:3036269	direct_annotation_to_the_hindlimb	NA	4	524	1.25197059621	551	NA	NA	NA	2:trim55a,trim55b	NA	NA	NA	NA
rhobtb3	mgi:1920546	direct_annotation_to_the_hindlimb	NA	26	257	9.12008342635	274	NA	NA	NA	NA	NA	NA	NA	NA
atp2b1	mgi:104653	direct_annotation_to_the_hindlimb	NA	5	500	1.98654694549	500	NA	NA	NA	1:atp2b1a	NA	NA	NA	NA
dlx5	mgi:101926	direct_annotation_to_the_hindlimb	NA	56	161	20.9327009435	121	NA	NA	NA	1:dlx5a	NA	NA	NA	NA
dlx6	mgi:101927	direct_annotation_to_the_hindlimb	NA	26	257	9.08950176595	275	NA	NA	NA	1:dlx6a	NA	NA	NA	NA
errfi1	mgi:1921405	direct_annotation_to_the_hindlimb	NA	3	549	1.10287160697	564	NA	NA	NA	2:errfi1b,errfi1a	NA	NA	NA	NA
gnas	mgi:95777	direct_annotation_to_the_hindlimb	NA	34	230	14.0574166676	221	NA	NA	NA	1:gnas	NA	NA	NA	NA
bglap2	mgi:88157	predicted	NA	60	141	24.844685487	100	NA	NA	NA	NA	NA	NA	NA	NA
gulo	mgi:1353434	direct_annotation_to_the_hindlimb	NA	8	436	2.56780783112	476	NA	NA	NA	NA	NA	NA	NA	NA
pten	mgi:109583	direct_annotation_to_the_hindlimb	1:pten	103	38	43.6207978391	35	ptenb	zdb-gene-030616-47	predicted	2:ptenb,ptena	174	35	78.5310362481	32
pten	mgi:109583	direct_annotation_to_the_hindlimb	1:pten	103	38	43.6207978391	35	ptena	zdb-gene-030131-3776	predicted	2:ptenb,ptena	136	80	60.7765448493	80
cyp26a1	mgi:1096359	direct_annotation_to_the_hindlimb	NA	8	436	3.27314171604	443	NA	NA	NA	1:cyp26a1	NA	NA	NA	NA
pcolce	mgi:105099	direct_annotation_to_the_hindlimb	NA	18	314	7.48571367378	305	NA	NA	NA	2:pcolcea,pcolceb	NA	NA	NA	NA
hif1an	mgi:2442345	direct_annotation_to_the_hindlimb	NA	3	549	0.962507091514	585	NA	NA	NA	1:hif1an	NA	NA	NA	NA
pthlh	mgi:97800	direct_annotation_to_the_hindlimb	NA	99	40	40.5325089356	44	NA	NA	NA	2:pthlhb,pthlha	NA	NA	NA	NA
tcirg1	mgi:1350931	direct_annotation_to_the_hindlimb	NA	11	392	4.23168573477	404	NA	NA	NA	2:tcirg1a,tcirg1b	NA	NA	NA	NA
dym	mgi:1918480	direct_annotation_to_the_hindlimb	NA	5	500	1.63487890399	522	NA	NA	NA	NA	NA	NA	NA	NA
sh3bp2	mgi:1346349	direct_annotation_to_the_hindlimb	NA	8	436	3.10372749049	449	NA	NA	NA	1:sh3bp2	NA	NA	NA	NA
tba	mgi:98490	direct_annotation_to_the_hindlimb	NA	61	107	19.0611893816	174	NA	NA	NA	NA	NA	NA	NA	NA
msx1	mgi:97168	predicted	1:msx1	67	89	26.6468177274	88	msx1a	zdb-gene-980526-312	predicted	1:msx1a	36	441	15.3588803121	442
msx2	mgi:97169	direct_annotation_to_the_hindlimb	NA	77	78	30.1833931681	79	NA	NA	NA	2:msx2b,msx2a	NA	NA	NA	NA
fgfr2	mgi:95523	direct_annotation_to_the_hindlimb	1:fgfr2	118	24	48.7643543551	24	fgfr2	zdb-gene-030323-1	predicted	1:fgfr2	156	49	63.0558942868	67
fgfr3	mgi:95524	direct_annotation_to_the_hindlimb	NA	119	23	48.0183812668	28	NA	NA	NA	1:fgfr3	NA	NA	NA	NA
fgfr1	mgi:95522	direct_annotation_to_the_hindlimb	1:fgfr1	129	15	53.2230146914	16	fgfr1a	zdb-gene-980526-255	predicted	2:fgfr1a,fgfr1b	220	9	91.2552995652	19
